creative_id,date,platform,angle,format,hook,duration_seconds,views_24h,views_7d,one_second_hold_rate,average_watch_seconds,completion_rate,likes,comments,shares,saves,profile_visits,bio_clicks,store_views,installs,onboarding_completed,first_save_7d,status,learning
v001,,instagram,social_graveyard,confession,"I save things on Instagram like I'm ever going to find them again.",,,,,,,,,,,,,,,,,planned,
v001,,tiktok,social_graveyard,confession,"I save things on Instagram like I'm ever going to find them again.",,,,,,,,,,,,,,,,,planned,
v002,,instagram,screenshot_chaos,confession,"My screenshots were a graveyard of good intentions.",,,,,,,,,,,,,,,,,planned,
v002,,tiktok,screenshot_chaos,confession,"My screenshots were a graveyard of good intentions.",,,,,,,,,,,,,,,,,planned,
v003,,instagram,fragmented_plans,confession,"The recipe was in Instagram. The hotel was in Notes. I found neither.",,,,,,,,,,,,,,,,,planned,
v003,,tiktok,fragmented_plans,confession,"The recipe was in Instagram. The hotel was in Notes. I found neither.",,,,,,,,,,,,,,,,,planned,
v004,,instagram,social_graveyard,before_after,"Before: 2,000 saved posts. After: things I can actually find.",,,,,,,,,,,,,,,,,planned,
v004,,tiktok,social_graveyard,before_after,"Before: 2,000 saved posts. After: things I can actually find.",,,,,,,,,,,,,,,,,planned,
v005,,instagram,screenshot_chaos,pov,"POV: you can actually find that screenshot from March.",,,,,,,,,,,,,,,,,planned,
v005,,tiktok,screenshot_chaos,pov,"POV: you can actually find that screenshot from March.",,,,,,,,,,,,,,,,,planned,
v006,,instagram,fragmented_plans,list,"Three places your future plans go to die.",,,,,,,,,,,,,,,,,planned,
v006,,tiktok,fragmented_plans,list,"Three places your future plans go to die.",,,,,,,,,,,,,,,,,planned,
v007,,instagram,social_graveyard,demo,"Don't leave this buried in your Saved folder.",,,,,,,,,,,,,,,,,planned,
v007,,tiktok,social_graveyard,demo,"Don't leave this buried in your Saved folder.",,,,,,,,,,,,,,,,,planned,
v008,,instagram,screenshot_chaos,list,"Before deleting screenshots, rescue the useful ones.",,,,,,,,,,,,,,,,,planned,
v008,,tiktok,screenshot_chaos,list,"Before deleting screenshots, rescue the useful ones.",,,,,,,,,,,,,,,,,planned,
v009,,instagram,fragmented_plans,pov,"POV: your saved internet has a home.",,,,,,,,,,,,,,,,,planned,
v009,,tiktok,fragmented_plans,pov,"POV: your saved internet has a home.",,,,,,,,,,,,,,,,,planned,
v010,,instagram,fragmented_plans,objection_reply,"But I already have Instagram Saved and Photos.",,,,,,,,,,,,,,,,,planned,
v010,,tiktok,fragmented_plans,objection_reply,"But I already have Instagram Saved and Photos.",,,,,,,,,,,,,,,,,planned,
